,StockCode,InvoiceDate,Description,Quantity,Price,Revenue
19,16012,2010-11-01 15:28:00,FOOD/DRINK SPONGE STICKERS,96,0.21,20.16
20,16014,2011-09-23 14:49:00,SMALL CHINESE STYLE SCISSOR,20,0.42,8.4
21,16016,2011-09-23 14:49:00,LARGE CHINESE STYLE SCISSOR,10,0.85,8.5
22,16033,2010-05-17 13:22:00,MINI HIGHLIGHTER PENS,480,0.12,57.599999999999994
23,16045,2011-07-18 10:29:00,POPART WOODEN PENCILS ASST,400,0.04,16.0
24,16048,2010-08-03 13:55:00,TEATIME ROUND PENCIL SHARPENER ,192,0.24,37.44
25,16052,2011-01-26 12:29:00,TEATIME PUSH DOWN RUBBER,48,0.42,20.16
26,16053,2010-04-20 12:48:00,POPART COL BALLPOINT PEN ASST,50,0.21,10.5
27,16054,2011-07-31 11:45:00,POPART RECT PENCIL SHARPENER ASST,72,0.12,8.64
28,16119,2009-12-18 13:35:00,FUNKY GIRL ADDRESS BOOK,12,1.25,15.0
29,16156L,2010-01-22 13:52:00,"WRAP, CAROUSEL",100,0.42,42.0
30,16156S,2010-03-03 12:21:00,WRAP PINK FAIRY CAKES ,200,0.42,84.0
31,16161G,2011-11-10 19:40:00,WRAP BAD HAIR DAY,25,0.1,2.5
32,16161P,2010-01-22 13:52:00,WRAP ENGLISH ROSE ,350,0.40857142857142853,131.0
33,16161U,2010-03-03 12:21:00,"WRAP,SUKI AND FRIENDS",200,0.42,84.0
34,16169E,2011-09-28 14:57:00,WRAP 50'S  CHRISTMAS,100,0.42,42.0
35,16169M,2010-08-23 10:38:00,WRAP DAISY CARPET ,25,0.19,4.75
36,16169N,2010-02-02 13:33:00,WRAP BLUE RUSSIAN FOLKART,25,0.42,10.5
37,16169P,2010-03-03 12:21:00,WRAP GREEN RUSSIAN FOLKART ,75,0.3433333333333333,25.75
38,16202A,2010-05-20 13:17:00,PASTEL PINK PHOTO ALBUM ,5,3.15,27.75
39,16202B,2010-05-09 12:49:00,PASTEL BLUE PHOTO ALBUM ,8,3.9499999999999997,44.4
40,16202C,2010-01-22 13:52:00,BEIGE PHOTO ALBUM,24,1.95,46.8
41,16206B,2011-01-26 12:29:00,RED PURSE WITH PINK HEART,5,1.25,6.25
42,16212,2010-05-06 10:30:00,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,36,0.65,23.400000000000002
43,16216,2011-07-18 10:29:00,LETTER SHAPE PENCIL SHARPENER,80,0.06,4.8
44,16218,2010-09-13 09:27:00,CARTOON  PENCIL SHARPENERS,240,0.12666666666666668,30.400000000000002
45,16219,2010-05-04 10:10:00,HOUSE SHAPE PENCIL SHARPENER,168,0.16,20.88
46,16235,2010-04-22 15:58:00,RECYCLED PENCIL WITH RABBIT ERASER,180,0.21,37.8
47,16236,2010-05-06 17:22:00,KITTY PENCIL ERASERS,168,0.21000000000000002,35.28
48,16237,2010-01-28 12:36:00,SLEEPING CAT ERASERS,300,0.21,63.0
49,16238,2010-11-23 13:59:00,PARTY TIME PENCIL ERASERS,28,0.21,5.88
50,16258A,2010-08-23 10:38:00,SWIRLY CIRCULAR RUBBERS IN BAG,72,0.42,30.24
51,16259,2010-08-22 10:33:00,PIECE OF CAMO STATIONERY SET,324,0.16666666666666666,54.0
52,17001,2010-10-14 17:51:00,HEAVENS SCENT FRAGRANCE OILS ASSTD,36,0.29,10.44
53,17012A,2011-03-18 09:17:00,ORIGAMI VANILLA INCENSE/CANDLE SET ,6,2.55,15.299999999999999
54,17012B,2010-12-10 12:33:00,ORIGAMI JASMINE INCENSE/CANDLE SET,30,1.7,35.699999999999996
55,17012C,2010-04-30 11:48:00,ORIGAMI LAVENDER INCENSE/CANDL SET ,6,2.55,15.299999999999999
56,17012D,2010-12-10 12:33:00,ORIGAMI ROSE INCENSE/CANDLE SET ,30,1.7,35.699999999999996
57,17012E,2010-12-10 12:33:00,ORIGAMI OPIUM INCENSE/CANDLE SET ,6,2.55,15.299999999999999
58,17012F,2010-12-10 12:33:00,ORIGAMI SANDLEWOOD INCENSE/CAND SET,12,2.55,30.599999999999998
59,17013D,2010-04-30 11:48:00,ORIGAMI ROSE INCENSE IN TUBE,6,1.65,9.899999999999999
60,17039,2010-03-05 10:20:00,INLAID WOOD INCENSE HOLDER,1000,0.21,210.0
61,17084R,2010-03-05 10:20:00,ASSORTED INCENSE PACK,2880,0.16,460.8
62,17090A,2010-12-03 11:48:00,LAVENDER INCENSE 40 CONES IN TIN,36,0.85,30.599999999999998
63,17091A,2010-03-05 10:20:00,LAVENDER INCENSE IN TIN,72,0.38,27.36
64,17091B,2010-03-05 10:20:00,JASMINE TEA INCENSE IN TIN,36,0.85,30.599999999999998
65,17091J,2010-03-05 10:20:00,VANILLA INCENSE IN TIN,150,0.715,96.06
66,17107D,2009-12-18 13:48:00,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",24,2.55,61.199999999999996
67,17108D,2009-12-18 13:48:00,FLOWER FAIRY SUMMER BOUQUET SACHET,24,0.42,10.08
68,17109A,2010-03-05 10:20:00,FLOWER FAIRY INCENSE LILY,72,0.38,27.36
69,17109B,2010-03-05 12:44:00,FLOWER FAIRY INCENSE LAVENDER,72,0.38,27.36
70,17109D,2010-03-05 10:20:00,FLOWER FAIRY INCENSE BOUQUET,72,0.38,27.36
71,17136A,2011-06-08 10:45:00,BLUE STONES ON WIRE FOR CANDLE,24,0.08,1.92
72,17165D,2010-06-30 13:43:00,ASS COL LARGE SAND FROG P'WEIGHT,9,1.05,9.450000000000001
73,17181,2010-03-05 10:20:00,CIRCLE OF FRIENDS CANDLE HOLDER,36,0.85,30.599999999999998
74,18007,2010-10-05 09:26:00,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,24,0.18,4.32
75,18094C,2010-04-19 10:23:00,WHITE AND BLUE CERAMIC OIL BURNER,24,1.25,30.0
76,18096C,2010-02-24 09:24:00,WHITE ROUND PORCELAIN TLIGHT HOLDER,6,2.55,15.299999999999999
77,18097C,2010-01-07 19:34:00,WHITE TALL PORCELAIN T-LIGHT HOLDER,90,2.55,229.49999999999997
78,18098C,2010-01-28 12:36:00,PORCELAIN BUTTERFLY OIL BURNER,36,2.95,106.20000000000002
79,20617,2009-12-15 14:03:00,FIRST CLASS PASSPORT COVER ,30,2.1,63.00000000000001
80,20618,2010-02-17 10:04:00,QUEEN OF THE SKIES PASSPORT COVER ,6,2.1,12.600000000000001
81,20619,2010-02-17 14:39:00,TROPICAL PASSPORT COVER ,30,2.1,63.00000000000001
82,20621,2010-02-16 17:47:00,ECONOMY PASSPORT COVER ,3,2.1,6.300000000000001
83,20622,2011-03-14 12:28:00,VIPPASSPORT COVER ,6,2.1,12.600000000000001
84,20652,2011-05-08 11:37:00,BLUE POLKADOT LUGGAGE TAG ,12,1.25,15.0
85,20654,2010-05-06 10:30:00,FIRST CLASS LUGGAGE TAG ,48,1.25,60.0
86,20655,2011-05-08 11:37:00,QUEEN OF SKIES LUGGAGE TAG,12,1.25,15.0
87,20657,2010-02-17 14:39:00,TROPICAL LUGGAGE TAG,12,1.25,15.0
88,20658,2010-01-21 08:47:00,RED SPOTTY LUGGAGE TAG,60,1.25,75.0
89,20661,2010-03-26 09:46:00,BLUE SPOTTY PURSE ,6,2.95,17.700000000000003
90,20665,2010-03-26 09:46:00,RED SPOTTY PURSE ,12,2.95,35.400000000000006
91,20668,2010-12-03 14:04:00,DISCO BALL CHRISTMAS DECORATION,96,0.12,11.52
92,20669,2010-04-30 11:48:00,RED HEART LUGGAGE TAG,6,1.25,7.5
93,20674,2010-09-08 08:18:00,GREEN SPOTTY BOWL,48,1.25,60.0
94,20675,2010-07-09 15:48:00,BLUE SPOTTY BOWL,72,1.25,90.0
95,20676,2010-07-09 15:48:00,RED SPOTTY BOWL,48,1.25,60.0
96,20677,2010-07-13 13:11:00,PINK SPOTTY BOWL,72,1.25,90.0
97,20678,2011-09-23 14:49:00,LARGE BLACK DIAMANTE HAIRSLIDE,4,1.65,6.6
98,20679,2009-12-08 16:40:00,EDWARDIAN PARASOL RED,180,5.95,1071.0
99,20681,2009-12-15 12:00:00,PINK SPOTTY CHILDS UMBRELLA,234,3.1,670.5
100,20682,2009-12-15 12:00:00,RED SPOTTY CHILDS UMBRELLA,282,3.0681818181818183,796.5
101,20684,2010-02-17 14:39:00,STRAWBERRY DREAM CHILDS UMBRELLA,36,3.25,117.0
102,20685,2009-12-21 13:04:00,RED SPOTTY COIR DOORMAT,696,7.071111111111112,4490.42
103,20686,2010-05-17 13:22:00,DOLLY MIXTURE CHILDREN'S UMBRELLA,42,3.25,136.5
104,20689,2010-02-16 17:47:00,RETRO SISTERS EXPRESSO CUPS,3,5.95,17.85
105,20692,2009-12-01 12:30:00,FLORAL ELEPHANT SOFT TOY,15,4.25,63.75
106,20693,2010-01-28 12:36:00,FLORAL DINOSAUR GREEN,6,4.25,25.5
107,20695,2010-09-30 14:46:00,FLORAL BLUE MONSTER,3,4.25,12.75
108,20696,2010-05-04 10:10:00,FLORAL SOFT CAR TOY,8,3.75,30.0
109,20698,2010-08-05 14:35:00,LITTLE PINK MONSTER SOFT TOY,2,2.55,5.1
110,20699,2010-01-28 12:36:00,MOUSEY LONG LEGS SOFT TOY,12,2.55,30.599999999999998
111,20702,2010-02-24 09:24:00,PINK PADDED MOBILE,37,4.25,157.25
112,20703,2010-01-28 12:36:00,BLUE PADDED SOFT MOBILE,30,4.25,127.5
113,20704,2011-10-17 12:25:00,MR ROBOT SOFT TOY,4,6.95,27.8
114,20707,2010-01-07 19:34:00,CRAZY DAISY HEART DECORATION,120,1.155,131.76
115,20711,2010-02-02 13:33:00,JUMBO BAG TOYS ,60,1.95,117.0
116,20712,2010-02-02 13:33:00,JUMBO BAG WOODLAND ANIMALS,80,2.03125,162.5
117,20713,2010-02-02 13:33:00,JUMBO BAG OWLS,70,1.9933333333333334,139.1
118,20715,2010-01-07 12:34:00,LITTLE FLOWER SHOPPER BAG,0,1.06,0.0
119,20716,2010-07-07 12:08:00,PARTY FOOD SHOPPER BAG,10,1.25,12.5
120,20717,2010-01-07 12:34:00,STRAWBERRY SHOPPER BAG,520,1.2353846153846153,574.0
121,20718,2010-01-07 12:34:00,RED SPOTTY SHOPPER BAG,480,1.2327272727272727,524.0
122,20719,2010-03-18 11:48:00,WOODLAND CHARLOTTE BAG,240,0.838181818181818,191.0
123,20723,2010-03-18 11:48:00,STRAWBERRY CHARLOTTE BAG,160,0.85,136.0
124,20724,2010-04-22 14:31:00,RED SPOTTY CHARLOTTE BAG,129,0.85,109.65
125,20725,2009-12-21 13:04:00,LUNCH BAG RED SPOTTY,1460,1.585135135135135,2189.0
126,20726,2010-01-07 12:34:00,LUNCH BAG WOODLAND,445,1.6300000000000001,684.25
127,20727,2010-02-15 17:01:00,LUNCH BAG  BLACK SKULL.,103,1.65,169.95
128,20728,2009-12-21 13:04:00,LUNCH BAG CARS BLUE,1243,1.5985714285714285,1860.95
129,20729,2010-03-26 09:46:00,RED SPOTTY CANDY BAG,10,1.25,12.5
130,20733,2009-12-15 12:00:00,GOLD MINI TAPE MEASURE ,20,0.85,17.0
131,20734,2009-12-01 11:41:00,SILVER MINI TAPE MEASURE ,30,0.85,25.5
132,20738,2010-04-19 10:04:00,GREEN MINI TAPE MEASURE ,50,0.85,42.5
133,20747,2009-12-01 12:33:00,PICCADILLY TEA SET,2,14.95,29.9
134,20748,2010-01-08 14:12:00,KENSINGTON COFFEE SET,18,10.95,197.1
135,20749,2009-12-07 13:49:00,ASSORTED COLOUR MINI CASES,64,7.861111111111111,489.6
136,20750,2009-12-03 18:13:00, RED/WHITE DOT MINI CASES,68,7.683333333333334,483.0
137,20751,2009-12-01 12:30:00,FUNKY WASHING UP GLOVES ASSORTED,520,2.1,1092.0000000000002
138,20752,2009-12-07 13:49:00,RETRO BLUE SPOTTY WASHING UP GLOVES,90,2.1,189.00000000000003
139,20753,2009-12-03 18:13:00,RETRO PINK SPOT WASHING UP GLOVES,18,2.1,37.800000000000004
140,20754,2009-12-07 13:49:00,RETRO RED SPOTTY WASHING UP GLOVES,1152,1.9878048780487805,2038.44
141,20755,2011-09-22 16:26:00,BLUE PAISLEY POCKET BOOK,12,0.85,10.2
142,20760,2010-01-21 08:47:00,GARDEN PATH POCKET BOOK,24,0.85,20.4
143,20761,2010-02-16 17:47:00,BLUE PAISLEY SKETCHBOOK,19,3.75,71.25
144,20762,2010-09-07 13:04:00,GREEN FERN SKETCHBOOK ,8,3.75,30.0
145,20763,2011-09-23 14:49:00,DAISY SKETCHBOOK ,4,3.75,15.0
146,20764,2010-08-05 14:35:00,ABSTRACT CIRCLES SKETCHBOOK ,14,3.75,52.5
147,20765,2010-01-28 12:36:00,CHRYSANTHEMUM SKETCHBOOK ,10,3.75,37.5
148,20766,2010-01-21 08:47:00,GARDEN PATH SKETCHBOOK,42,3.75,157.5
149,20767,2010-01-07 19:34:00,BLUE PAISLEY JOURNAL ,24,2.55,61.199999999999996
150,20768,2009-12-01 12:30:00,GREEN FERN JOURNAL ,24,2.55,61.199999999999996
151,20769,2011-09-23 14:49:00,DAISY JOURNAL ,12,2.55,30.599999999999998
152,20770,2010-01-28 12:36:00,ABSTRACT CIRCLE JOURNAL ,6,2.55,15.299999999999999
153,20771,2010-01-07 19:34:00,CHRYSANTHEMUM  JOURNAL,22,2.55,56.099999999999994
154,20772,2010-01-07 19:34:00,GARDEN PATH JOURNAL,42,2.55,107.1
155,20773,2010-02-16 17:47:00,BLUE PAISLEY NOTEBOOK,12,1.65,19.799999999999997
156,20774,2010-05-09 12:49:00,GREEN FERN NOTEBOOK,7,1.65,11.549999999999999
157,20776,2010-02-24 09:24:00,ABSTRACT CIRCLES NOTEBOOK,6,1.65,9.899999999999999
158,20777,2010-02-24 09:24:00,CHRYSANTHEMUM NOTEBOOK,11,1.6499999999999997,18.15
159,20778,2010-01-21 08:47:00,GARDEN PATH NOTEBOOK ,30,1.65,49.49999999999999
160,20780,2010-01-21 08:47:00,BLACK EAR MUFF HEADPHONES,6,5.49,32.94
161,20781,2010-01-21 08:47:00,GOLD EAR MUFF HEADPHONES,6,5.49,32.94
162,20782,2010-01-21 08:47:00,CAMOUFLAGE EAR MUFF HEADPHONES,5,5.49,27.450000000000003
163,20783,2010-01-21 08:47:00,HEART EAR MUFF HEADPHONES,7,5.49,38.43
164,20793,2010-05-09 12:49:00,BLUE TILED TRAY,6,6.75,40.5
165,20794,2010-01-07 19:34:00,BLUE  TILE HOOK,36,2.55,91.8
166,20795,2011-01-24 14:54:00,LARGE BLUE PROVENCAL CERAMIC BALL,6,2.1,12.600000000000001
167,20798,2010-06-23 12:31:00,CLEAR MILKSHAKE GLASS,8,2.1,16.800000000000004
168,20802,2010-07-16 14:41:00,SMALL GLASS SUNDAE DISH CLEAR,36,1.6499999999999997,59.39999999999999
169,20803,2010-07-16 14:41:00,SMALL PINK GLASS SUNDAE DISH,18,1.6499999999999997,29.699999999999996
170,20819,2010-03-18 11:48:00,SILVER TEDDY BEAR,4,3.75,15.0
171,20828,2009-12-01 11:41:00,GLITTER BUTTERFLY CLIPS,124,2.55,316.2
172,20829,2010-04-26 13:54:00,GLITTER HANGING BUTTERFLY STRING,50,2.1,105.0
173,20830,2010-09-08 08:18:00,SILVER PHOTO FRAME,6,2.1,12.600000000000001
174,20831,2009-12-18 13:48:00,GOLD PHOTO FRAME,36,1.6833333333333336,45.6
175,20835,2010-03-03 16:37:00,FRENCH LATTICE CUSHION COVER ,12,0.85,10.2
176,20839,2011-06-08 10:45:00,FRENCH PAISLEY CUSHION COVER ,12,0.85,10.2
177,20840,2011-06-08 10:45:00,FRENCH FLORAL CUSHION COVER ,12,0.85,10.2
178,20846,2010-05-09 12:49:00,ZINC HEART LATTICE T-LIGHT HOLDER,12,1.25,15.0
179,20856,2010-03-26 09:46:00,DENIM PATCH PURSE PINK BUTTERFLY,20,1.65,33.0
180,20862,2010-01-21 08:47:00,PINK PATCH PENCIL CASE BLUE HEART,12,2.1,25.200000000000003
181,20863,2010-01-21 08:47:00,BLUE PATCH PENCIL CASE PINK HEART,12,2.1,25.200000000000003
182,20865,2010-01-21 08:47:00,PATCHWORK PENCIL CASE BUTTERFLY ,12,2.1,25.200000000000003
183,20866,2011-09-08 10:08:00,BLUE ROSE FABRIC MIRROR,12,1.25,15.0
184,20867,2011-06-17 09:23:00,PINK ROSE FABRIC MIRROR,12,1.25,15.0
185,20871,2010-10-26 13:39:00,OPULENT VELVET SET/3 CANDLES,6,2.1,12.600000000000001
186,20878,2010-10-26 13:39:00,SET/9 CHRISTMAS T-LIGHTS SCENTED ,12,1.25,15.0
187,20886,2010-02-17 14:39:00,BOX OF 9 PEBBLE CANDLES,24,1.95,46.8
188,20888,2009-12-08 16:40:00,SET 3 JARDIN DE FEMME SCENT CANDLES,24,1.25,30.0
189,20889,2010-01-19 13:31:00,JARDIN DE FEMME SCENTED CANDLE,4,2.95,11.8
190,20892,2010-03-03 12:20:00,SET/3 TALL GLASS CANDLE HOLDER PINK,8,3.95,31.6
191,20893,2011-10-21 09:20:00,HANGING BAUBLE T-LIGHT HOLDER SMALL,6,2.55,15.299999999999999
192,20894,2010-10-22 08:51:00,HANGING BAUBLE T-LIGHT HOLDER LARGE,12,2.95,35.400000000000006
193,20896,2010-02-16 17:47:00,VINTAGE NOTEBOOK PINK FLOWER,4,2.95,11.8
194,20898,2010-03-24 12:20:00,VINTAGE NOTEBOOK TRAVELOGUE,6,2.95,17.700000000000003
195,20901,2010-01-22 11:41:00,VINTAGE KEEPSAKE BOX PINK FLOWER,6,6.349999999999999,38.099999999999994
196,20906,2010-01-25 12:19:00,VINTAGE NOTEBOOK BEAUTY GIRL,6,2.95,17.700000000000003
197,20913,2009-12-16 10:51:00,SET/5 BLUE SPOTTY LID GLASS BOWLS,214,2.75,548.1
198,20914,2009-12-08 13:49:00,SET/5 RED SPOTTY LID GLASS BOWLS,2922,2.846774193548387,7698.7
199,20934,2010-02-16 17:47:00,SET/3 POT PLANT CANDLES,5,5.45,27.25
200,20936,2011-09-28 12:20:00,FORKED CACTUS CANDLE,6,2.95,17.700000000000003
201,20950,2010-11-03 10:20:00,SET/6  ANGEL T-LIGHTS WHITE/GOLD,24,0.42,10.08
202,20960,2010-08-24 14:29:00,WATERMELON BATH SPONGE,10,1.25,12.5
203,20961,2010-03-18 11:48:00,STRAWBERRY BATH SPONGE ,60,1.25,75.0
204,20963,2010-03-18 11:48:00,APPLE BATH SPONGE,40,1.25,50.0
205,20966,2010-12-03 14:04:00,SANDWICH BATH SPONGE,20,1.25,25.0
206,20967,2010-06-11 15:58:00,GREY FLORAL FELTCRAFT SHOULDER BAG,8,3.75,30.0
207,20969,2010-04-19 10:04:00,RED FLORAL FELTCRAFT SHOULDER BAG,20,3.75,75.0
208,20970,2010-02-21 12:50:00,PINK FLORAL FELTCRAFT SHOULDER BAG,48,3.75,180.0
209,20971,2010-01-07 19:34:00,PINK BLUE FELT CRAFT TRINKET BOX,108,1.25,135.0
210,20972,2010-01-07 19:34:00,PINK CREAM FELT CRAFT TRINKET BOX ,158,1.25,197.5
211,20973,2010-05-09 12:49:00,12 PENCIL SMALL TUBE WOODLAND,240,0.65,156.0
212,20974,2010-09-13 09:27:00,12 PENCILS SMALL TUBE SKULL,72,0.65,46.800000000000004
213,20975,2009-12-16 10:51:00,12 PENCILS SMALL TUBE RED SPOTTY,168,0.65,109.20000000000002
214,20976,2010-03-03 12:21:00,12 PENCILS SMALL TUBE POSY,48,0.65,31.200000000000003
215,20977,2009-12-10 10:29:00,36 PENCILS TUBE WOODLAND,304,1.25,380.0
216,20978,2010-02-02 13:33:00,36 PENCILS TUBE SKULLS,99,1.25,123.75
217,20979,2009-12-21 13:04:00,36 PENCILS TUBE RED SPOTTY,952,1.1968,1068.4
218,20981,2010-03-03 12:21:00,12 PENCILS TALL TUBE WOODLAND,156,0.85,132.6
219,20982,2010-07-06 10:22:00,12 PENCILS TALL TUBE SKULLS,72,0.85,61.199999999999996
220,20983,2010-04-19 10:04:00,12 PENCILS TALL TUBE RED SPOTTY,312,0.85,265.2
221,20984,2010-01-31 14:37:00,12 PENCILS TALL TUBE POSY,222,0.5,108.05999999999999
222,20985,2010-08-15 14:34:00,HEART CALCULATOR,73,1.25,91.25
223,20986,2010-08-22 10:33:00,BLUE CALCULATOR RULER,24,1.25,30.0
224,20989,2010-01-21 08:47:00,URBAN CHIC CHOPSTICKS SET/5,14,1.95,27.3
225,20990,2010-01-21 08:47:00,SPRING FLOWER CHOPSTICKS SET/5,16,1.95,31.2
226,20991,2009-12-18 13:35:00,JAZZ HEARTS MAGNETIC MEMO PAD,48,0.65,31.200000000000003
227,20992,2010-01-07 19:34:00,JAZZ HEARTS PURSE NOTEBOOK,108,0.5740000000000001,58.67999999999999
228,20993,2010-01-25 12:19:00,JAZZ HEARTS MEMO PAD,12,0.85,10.2
229,20996,2010-05-06 10:30:00,JAZZ HEARTS ADDRESS BOOK,144,0.305,43.92
230,20998,2010-06-25 10:22:00,ROSE DU SUD OVEN GLOVE,12,2.95,35.400000000000006
231,21000,2010-08-03 13:55:00,ROSE DU SUD COSMETICS BAG,18,4.25,76.5
232,21001,2010-08-03 13:55:00,ROSE DU SUD WASHBAG ,6,5.95,35.7
233,21002,2010-10-03 12:40:00,ROSE DU SUD DRAWSTRING BAG,9,4.25,38.25
234,21003,2011-09-07 16:00:00,ROSE DU SUD CUSHION COVER,2,6.35,12.7
235,21004,2009-12-01 12:30:00,ROSE DU SUD CHILDS APRON,19,4.25,80.75
236,21009,2010-09-30 14:46:00,ETCHED GLASS STAR TREE DECORATION,36,1.25,45.0
237,21010,2010-09-30 14:46:00,ETCHED GLASS BIRD TREE DECORATION,12,1.25,15.0
238,21011,2010-09-30 14:46:00,GLITTER SNOW PEAR TREE DECORATION,120,0.7366666666666667,58.44
239,21014,2010-09-28 13:13:00,SWISS CHALET TREE DECORATION ,96,0.6024999999999999,47.519999999999996
240,21015,2011-09-30 10:20:00,DARK BIRD HOUSE TREE DECORATION,72,0.29,20.879999999999995
241,21017,2010-09-28 13:13:00,RED BIRD HOUSE TREE DECORATION,89,0.7424999999999999,55.01
242,21033,2010-04-29 10:54:00,JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,29.5
243,21035,2010-04-19 10:23:00,SET/2 RED SPOTTY TEA TOWELS ,248,3.0,695.2
244,21038,2010-02-16 17:47:00,SET/4 MODERN VINTAGE COTTON NAPKINS,13,2.95,38.35000000000001
245,21039,2010-05-26 09:05:00,RED SPOTTY SHOPPING BAG,24,2.55,61.199999999999996
246,21040,2010-02-16 17:47:00,MODERN VINTAGE COTTON SHOPPING BAG,6,2.55,15.299999999999999
247,21041,2009-12-16 10:51:00,RED SPOTTY OVEN GLOVE DOUBLE,90,2.95,265.50000000000006
248,21042,2010-01-21 08:47:00,RED SPOTTY APRON ,48,5.95,285.6
249,21043,2010-10-05 09:21:00,APRON MODERN VINTAGE COTTON,27,3.283333333333333,64.65
250,21051,2009-12-18 13:35:00,RIBBONS PURSE ,18,2.1,37.800000000000004
251,21053,2009-12-08 17:24:00,ZINC HEART HANGER WITH HOOKS,-1,4.25,-4.25
252,21054,2009-12-10 10:29:00,NURSE'S BAG SOFT TOY,24,8.95,214.8
253,21055,2010-08-31 10:52:00,TOOL BOX SOFT TOY ,16,8.95,143.2
254,21056,2009-12-10 10:29:00,DOCTOR'S BAG SOFT TOY,22,8.95,196.89999999999998
255,21058,2010-05-04 10:10:00,PARTY INVITES WOODLAND,48,0.85,40.8
256,21059,2010-01-07 19:34:00,PARTY INVITES DINOSAURS,72,0.85,61.199999999999996
257,21060,2010-01-07 19:34:00,PARTY INVITES BALLOON GIRL,60,0.85,51.0
258,21061,2009-12-14 14:12:00,PARTY INVITES FOOTBALL,36,0.85,30.599999999999998
259,21062,2010-05-09 12:49:00,PARTY INVITES SPACEMAN,24,0.85,20.4
260,21063,2009-12-14 14:12:00,PARTY INVITES JAZZ HEARTS,56,0.85,47.599999999999994
261,21064,2010-02-08 14:53:00,BOOM BOX SPEAKER BOYS,14,5.95,83.30000000000001
262,21066,2011-09-28 12:20:00,VINTAGE RED MUG,12,1.25,15.0
263,21067,2010-02-16 17:47:00,VINTAGE RED TEATIME MUG,30,1.25,37.5
264,21068,2010-01-25 12:19:00,VINTAGE BILLBOARD LOVE/HATE MUG,30,1.25,37.5
265,21069,2010-03-19 14:41:00,VINTAGE BILLBOARD TEA MUG,48,1.25,60.0
266,21070,2010-03-19 14:41:00,VINTAGE BILLBOARD MUG ,30,1.25,37.5
267,21071,2010-10-27 09:59:00,VINTAGE BILLBOARD DRINK ME MUG,36,1.25,45.0
268,21076,2010-01-07 19:34:00,SET/20 COLLAGE PAPER NAPKIN ,15,0.85,12.75
269,21077,2010-05-04 10:10:00,SET/20 WOODLAND PAPER NAPKINS ,36,0.85,30.599999999999998
270,21078,2010-02-17 14:39:00,SET/20 STRAWBERRY PAPER NAPKINS ,420,0.8404545454545453,336.84
271,21080,2010-01-28 12:36:00,SET/20 RED SPOTTY PAPER NAPKINS ,420,0.85,357.0
272,21082,2009-12-01 12:30:00,SET/20 FRUIT SALAD PAPER NAPKINS ,132,0.7975,92.03999999999999
273,21084,2010-02-16 17:47:00,SET/6 COLLAGE PAPER CUPS,51,0.3433333333333333,11.07
274,21086,2010-03-12 10:09:00,SET/6 RED SPOTTY PAPER CUPS,48,0.65,31.200000000000003
275,21089,2011-06-22 13:52:00,SET/6 GREEN SPRING PAPER CUPS,12,0.19,2.2800000000000002
276,21090,2010-02-16 17:47:00,SET/6 COLLAGE PAPER PLATES,63,0.505,25.95
277,21092,2010-02-17 14:39:00,SET/6 STRAWBERRY PAPER PLATES,24,0.85,20.4
278,21094,2010-03-12 10:09:00,SET/6 RED SPOTTY PAPER PLATES,60,0.85,51.0
